r	g	b
2	2	0
3	3	1
3	4	0
3	4	0
4	5	0
1	2	0
0	0	0
1	1	0
3	3	1
3	3	1
3	3	1
3	3	1
2	2	0
2	2	0
3	3	1
3	3	1
3	3	1
2	2	0
3	3	1
3	3	1
2	2	0
3	3	1
3	3	1
4	4	2
4	4	2
4	4	2
3	3	1
2	2	0
3	4	0
2	3	0
3	4	0
5	6	1
3	4	0
0	1	0
1	2	0
3	4	0
3	4	0
3	4	0
3	4	0
3	4	0
6	7	2
9	10	5
10	11	6
8	9	4
0	5	0
2	4	0
2	4	0
2	4	0
2	4	0
2	4	0
3	5	0
3	5	0
1	3	0
2	4	0
3	5	0
4	5	0
4	5	0
4	5	0
4	5	0
4	5	0
5	6	1
6	7	2
7	6	1
6	5	0
7	4	0
6	3	0
9	4	0
12	7	3
16	9	3
11	4	0
10	1	0
14	5	0
12	3	0
18	9	4
15	6	1
18	9	2
15	10	4
10	7	0
9	6	0
10	7	0
7	6	1
7	6	1
8	7	2
7	7	0
12	9	2
14	10	1
16	9	0
20	10	0
26	14	2
29	15	2
31	15	0
33	15	1
31	14	0
34	17	1
35	15	4
34	14	5
34	16	6
33	17	4
32	16	0
34	15	0
36	17	2
36	18	4
26	13	4
13	9	0
10	10	0
14	11	2
20	10	0
28	11	1
29	12	2
31	14	4
30	13	3
29	12	2
29	12	2
29	12	2
28	11	1
29	12	2
40	19	2
39	18	1
38	19	2
39	20	5
36	19	3
33	15	1
33	17	2
33	17	4
35	19	6
32	15	5
28	11	1
28	11	1
29	12	2
28	11	1
28	11	1
30	13	3
35	19	3
33	17	2
33	15	1
32	14	0
34	16	2
33	15	3
28	12	0
21	7	0
23	11	0
22	12	2
18	10	0
15	8	0
15	8	0
16	7	0
17	8	1
20	11	4
19	6	0
17	4	0
23	10	2
26	13	5
26	16	7
19	9	0
17	7	0
13	4	0
20	11	4
20	13	5
14	10	1
11	6	0
11	8	1
7	7	0
10	10	2
20	20	12
18	14	5
15	11	2
13	9	0
14	10	1
17	12	6
14	11	4
11	8	1
12	9	2
8	5	0
9	6	1
14	11	6
5	2	0
5	4	0
9	8	4
5	4	0
9	8	4
19	16	11
19	16	11
14	11	6
9	6	1
5	4	0
4	3	0
4	3	0
4	3	0
4	3	0
7	6	2
7	6	2
5	1	0
4	0	0
7	2	0
7	2	0
5	0	0
4	5	0
3	4	0
4	5	0
6	7	2
5	6	1
3	4	0
4	5	0
4	5	0
3	4	0
4	5	0
4	5	0
4	5	0
3	4	0
2	3	0
3	4	0
4	5	0
1	1	0
2	2	0
2	2	0
1	1	0
1	1	0
3	4	0
3	4	0
2	3	0
2	3	0
4	5	0
6	7	2
4	4	2
0	0	0
0	0	0
0	0	0
4	4	2
5	5	3
4	4	2
4	4	2
3	3	1
3	3	1
2	2	0
2	2	0
3	3	1
3	3	1
3	3	1
2	2	0
1	1	0
2	2	0
2	2	0
3	3	1
3	3	1
2	3	0
4	5	0
5	6	1
3	4	0
2	3	0
4	5	0
4	5	0
3	4	0
7	8	3
6	7	2
3	4	0
2	3	0
3	4	0
7	8	3
7	8	3
6	7	2
2	4	0
2	4	0
2	4	0
2	4	0
2	4	0
2	4	0
3	5	0
3	5	0
2	4	0
2	4	0
3	5	0
4	5	0
4	5	0
