r	g	b
39	82	3
40	83	4
46	89	10
37	80	1
38	81	2
38	81	2
35	76	0
39	77	2
36	72	0
40	76	4
38	74	4
37	73	3
35	71	1
35	72	2
34	71	1
35	71	1
37	73	1
39	72	1
40	71	1
41	72	2
38	74	2
37	73	1
37	73	1
40	73	2
41	75	1
43	75	2
44	74	2
43	73	1
47	74	3
46	73	2
48	74	3
49	75	4
48	74	3
47	73	2
49	72	2
49	72	2
43	71	0
45	73	0
44	70	0
46	72	1
48	71	3
49	71	6
51	72	7
41	61	0
48	66	4
51	70	6
48	66	4
47	65	3
45	61	0
42	57	0
46	61	4
43	58	1
46	62	0
46	62	0
47	61	0
45	59	0
45	58	2
49	59	6
51	61	9
51	60	13
48	56	15
54	62	25
62	67	35
70	72	48
78	77	57
80	77	62
82	74	63
82	73	64
85	76	59
87	78	61
85	76	61
83	74	59
83	73	61
82	72	60
78	68	58
77	67	58
80	70	61
78	67	61
74	63	57
75	62	56
76	62	59
74	60	57
71	57	54
72	58	55
71	62	53
68	59	50
68	59	50
71	63	52
70	64	52
69	63	51
70	64	52
72	66	52
104	100	97
107	103	100
107	106	102
106	107	101
105	106	100
105	108	101
107	110	103
108	109	103
107	108	103
110	109	105
110	109	105
112	108	105
111	110	108
112	111	109
109	109	107
108	108	106
116	113	104
113	110	101
112	109	100
112	109	100
111	108	99
123	120	113
109	106	99
109	106	99
106	105	100
105	104	99
105	104	99
107	106	101
104	103	98
103	102	97
107	106	101
103	102	97
105	106	101
109	110	105
109	110	105
107	108	103
108	108	106
109	109	107
110	110	108
110	110	108
110	110	108
109	109	107
111	111	109
113	113	111
112	113	108
112	113	108
111	112	107
106	107	102
110	111	106
113	114	109
112	113	108
110	111	106
108	109	104
107	108	103
106	107	102
106	107	102
108	109	104
106	107	102
103	104	99
102	104	99
101	103	98
100	102	97
98	103	97
99	104	98
96	98	93
101	103	98
99	101	96
101	103	98
102	103	98
102	103	98
103	104	99
102	103	97
105	106	100
104	105	99
105	106	100
108	107	102
109	108	103
108	107	102
107	106	101
107	106	101
101	105	104
99	105	101
97	107	99
96	108	98
96	106	98
100	102	101
105	100	104
105	99	103
103	99	98
102	109	93
94	114	79
63	98	44
40	85	18
38	91	13
35	88	8
32	87	6
36	85	4
34	83	2
35	84	3
32	79	0
30	77	0
32	79	0
32	79	1
35	82	4
36	83	5
37	81	4
34	81	3
34	81	3
36	83	5
36	83	5
36	83	5
37	84	6
34	84	0
35	85	0
38	86	2
38	86	2
36	84	0
37	82	1
38	83	2
39	84	3
41	84	4
59	102	22
40	83	3
37	80	0
39	82	2
41	84	5
36	79	0
37	80	1
36	79	0
37	80	1
35	76	0
40	78	3
36	74	1
40	76	4
36	72	2
34	70	0
36	73	3
36	73	3
35	72	2
36	72	0
38	74	2
40	73	2
40	71	1
41	73	0
38	74	2
37	73	1
37	73	1
41	74	3
42	74	1
44	76	3
45	75	3
44	74	2
47	75	1
45	72	1
46	72	1
48	74	3
48	74	3
47	73	2
46	72	1
45	71	0
47	74	3
47	74	3
43	68	0
44	69	1
46	69	1
51	74	6
58	79	12
49	70	3
47	67	0
51	71	2
50	67	0
51	67	2
47	63	0
43	59	0
46	61	2
42	57	0
46	59	5
47	57	4
47	57	5
49	57	8
50	58	11
52	59	15
56	63	22
61	67	31
71	76	44
72	76	49
74	76	54
76	75	57
78	74	62
80	71	64
83	72	68
87	76	72
81	71	59
85	75	63
84	74	62
83	73	63
83	74	65
82	73	64
79	70	63
78	69	62
75	66	59
77	66	62
76	65	61
76	65	59
76	65	59
74	63	57
75	62	56
79	66	60
71	63	52
67	59	48
67	59	48
71	63	52
71	65	53
69	63	51
69	63	51
72	66	54
105	101	98
109	105	102
110	109	105
109	110	105
107	108	103
106	109	102
107	108	102
105	106	100
107	106	102
112	111	107
113	109	106
112	108	105
112	111	109
111	110	108
109	108	106
109	109	107
116	113	104
113	110	101
113	110	103
113	110	103
111	108	101
109	106	101
110	107	102
111	108	103
105	104	100
107	106	102
106	105	101
103	102	98
103	102	97
103	102	97
105	104	99
109	108	103
105	106	101
106	107	102
108	109	104
109	110	105
110	110	108
110	110	108
110	110	108
110	110	108
110	110	108
111	111	109
109	109	107
108	108	106
112	113	108
112	113	108
110	111	106
111	112	107
110	111	106
114	115	110
110	111	106
111	112	107
110	111	106
110	111	106
126	127	122
110	111	106
106	107	102
107	108	103
107	109	104
102	104	99
102	104	99
104	109	103
101	106	100
99	104	98
101	103	98
101	103	98
101	103	98
102	104	99
103	105	100
106	107	102
105	106	101
104	105	100
109	110	105
104	105	99
104	105	99
106	107	101
107	106	101
108	107	102
108	107	102
106	105	100
105	107	102
103	108	102
97	104	97
97	106	103
104	110	110
104	105	110
106	105	110
105	105	103
104	113	96
89	111	73
60	96	35
37	85	9
35	91	4
36	95	5
35	91	4
35	88	6
40	89	7
37	86	5
35	84	3
34	83	4
32	79	1
32	78	3
35	81	6
37	83	8
34	80	5
31	77	2
33	79	4
36	85	6
37	86	7
36	85	6
36	85	6
35	86	7
39	89	4
38	86	2
40	88	4
40	88	4
37	85	1
38	83	0
41	86	3
43	88	7
39	82	2
51	94	14
39	82	2
38	81	1
37	80	0
42	85	5
38	83	2
36	81	0
37	80	1
38	81	2
38	79	1
39	77	2
39	77	2
41	77	5
40	76	4
38	74	4
37	74	4
36	73	3
35	72	2
37	73	1
37	73	1
39	72	1
40	72	0
40	72	0
35	71	0
38	74	2
42	76	2
41	75	1
42	74	1
45	77	4
48	78	6
45	75	1
45	73	0
44	72	0
45	73	0
48	74	3
48	74	3
47	73	2
46	72	1
44	70	0
47	72	6
44	69	3
46	71	5
44	66	1
45	67	2
53	74	7
50	71	2
49	69	0
45	65	0
53	70	0
55	72	4
50	66	1
48	62	0
48	62	3
47	60	4
43	56	2
51	58	14
49	56	14
51	56	16
57	61	26
66	69	38
76	76	50
79	78	57
77	76	58
75	76	60
77	75	62
78	76	63
79	75	63
82	76	64
82	74	61
85	73	61
87	75	63
85	75	63
83	75	64
83	75	64
83	74	65
83	74	65
80	71	64
78	69	62
77	68	61
78	69	62
75	66	59
77	68	61
76	67	60
72	62	53
72	62	53
74	64	54
73	63	53
71	63	52
68	60	49
66	58	47
68	60	49
69	63	51
70	64	52
71	65	53
71	65	53
106	101	98
109	105	102
105	104	100
101	100	96
102	103	98
104	105	100
103	104	99
105	106	101
112	111	107
105	104	100
104	100	97
108	104	101
110	106	105
104	103	101
103	102	100
108	107	105
112	109	102
109	106	99
109	106	99
108	107	102
107	106	101
106	105	101
105	104	100
103	102	98
110	109	105
107	106	102
103	102	98
103	102	98
106	105	101
106	105	101
102	101	97
100	99	95
105	107	102
106	108	103
107	109	104
107	109	104
108	110	107
108	110	107
109	109	107
108	108	106
112	112	110
112	112	110
108	108	106
105	105	103
107	108	103
108	109	104
109	110	105
113	114	109
108	110	105
105	107	102
108	109	104
106	107	102
106	107	102
106	107	102
113	114	109
106	107	102
105	106	101
108	109	104
99	101	96
103	105	100
102	104	99
95	100	94
101	106	100
97	102	96
96	98	93
98	100	95
100	102	97
100	102	97
99	101	96
102	103	98
104	105	100
107	108	103
106	107	102
105	106	101
106	107	101
107	108	102
105	106	100
105	106	100
106	107	101
106	107	101
101	101	93
104	103	98
106	106	104
104	103	108
103	104	109
108	112	115
94	104	96
99	114	93
75	102	61
53	92	29
37	86	5
33	88	0
35	92	0
37	94	0
36	89	1
29	81	0
37	86	4
35	84	2
35	84	3
35	84	5
35	82	4
35	81	6
36	82	7
37	83	8
36	82	7
35	82	4
35	84	5
38	87	6
36	88	6
34	86	4
35	87	5
35	87	5
41	89	5
36	84	0
35	83	0
38	86	2
41	86	3
42	87	4
41	86	3
37	82	0
40	83	1
43	86	6
40	83	3
38	81	1
41	84	4
37	80	0
37	82	1
38	83	2
37	80	1
38	81	2
40	81	3
40	78	3
38	76	1
38	74	2
38	74	2
37	74	4
35	72	2
35	72	2
34	72	0
35	73	0
37	73	1
39	72	1
41	73	0
41	73	0
45	81	7
36	72	0
36	70	0
43	77	3
47	79	6
44	76	3
43	73	0
44	74	0
47	75	1
46	74	0
47	75	1
48	75	4
47	74	3
47	74	3
47	74	3
47	74	3
50	75	9
48	73	7
47	69	4
45	67	2
48	69	2
53	72	6
54	74	5
51	68	0
46	63	0
52	67	0
55	70	5
53	67	6
49	62	6
48	58	8
49	58	11
51	60	15
59	62	33
70	73	46
79	79	55
76	75	54
75	72	55
79	75	63
80	76	65
75	71	62
77	73	64
78	74	65
78	74	63
81	75	63
83	75	62
84	75	60
86	74	58
89	76	59
83	75	62
83	75	62
83	75	64
83	75	64
82	75	65
80	73	63
78	71	63
78	71	63
75	68	60
74	67	59
74	67	57
75	66	57
74	66	55
73	65	54
74	66	53
73	65	52
70	62	49
69	61	48
70	62	51
72	64	53
72	66	54
72	66	54
72	66	54
72	65	55
106	101	98
104	100	97
110	106	103
111	110	106
109	110	105
111	112	107
112	113	108
105	106	101
110	109	105
115	111	108
116	112	109
113	109	106
110	106	105
111	110	108
112	111	109
109	108	106
114	113	108
111	110	105
111	110	105
113	112	107
114	113	109
113	112	108
109	108	106
106	105	103
104	103	101
107	106	104
109	108	106
108	107	103
105	104	100
102	101	97
104	103	99
109	108	103
106	108	103
107	109	104
108	110	105
108	110	105
108	110	107
109	111	108
109	111	108
108	110	107
108	110	107
112	114	111
114	114	112
113	113	111
113	114	109
111	112	107
109	110	105
111	112	107
113	115	110
112	114	109
109	111	106
111	113	108
114	115	110
106	107	102
113	114	109
109	109	107
114	114	112
105	106	101
108	110	105
106	108	103
104	106	101
104	106	101
97	102	96
105	110	104
107	108	103
103	104	99
99	100	95
99	100	95
103	104	99
105	106	101
104	105	100
101	102	97
109	110	105
107	108	103
107	108	103
108	109	104
109	110	105
109	110	104
108	109	103
106	107	101
109	106	101
110	105	102
112	106	108
109	103	107
104	103	101
96	104	91
99	119	91
68	102	52
41	86	19
33	86	4
34	90	0
36	91	0
35	89	0
36	87	0
39	88	0
41	87	0
41	91	6
38	88	3
35	84	2
34	83	2
32	81	2
33	80	2
33	80	2
35	82	4
33	82	1
35	84	2
38	87	5
36	88	3
33	85	0
32	84	0
34	86	1
35	89	3
38	86	0
37	85	0
39	87	1
42	87	4
40	85	2
40	85	2
41	86	3
39	82	0
42	85	3
37	80	0
44	87	5
38	81	1
43	86	6
36	79	0
37	82	1
38	83	2
39	82	3
37	80	1
37	78	0
40	78	3
40	78	3
39	75	3
37	73	1
34	72	0
35	72	2
35	72	2
35	73	0
35	73	0
37	73	1
40	74	0
41	75	1
42	74	1
39	75	1
44	78	4
46	80	6
43	77	3
43	75	2
46	78	3
50	80	6
49	79	5
45	75	1
47	75	1
48	76	2
49	76	5
47	74	3
47	74	3
48	75	4
49	76	5
45	68	0
51	74	4
49	70	1
51	72	3
51	71	2
49	68	2
56	72	7
50	65	0
52	66	4
52	63	5
51	61	8
53	62	15
54	61	20
56	62	28
63	68	38
72	76	49
73	70	61
71	68	59
74	70	61
78	74	65
81	74	66
78	71	63
77	70	62
74	70	59
78	74	63
78	74	63
77	73	61
80	74	62
83	75	62
85	75	63
87	75	63
90	76	65
83	75	62
83	75	62
83	75	62
82	76	64
82	76	64
80	74	62
79	72	62
76	72	61
75	71	60
76	72	61
76	70	58
75	69	57
75	69	55
74	66	53
71	64	48
71	64	48
73	65	52
70	62	49
70	62	51
72	66	54
75	69	57
75	69	57
73	66	56
71	64	54
109	104	101
114	109	106
110	106	103
106	105	101
111	110	106
109	110	105
105	106	101
108	107	103
111	110	106
106	102	99
108	104	101
113	109	106
113	109	106
112	108	105
110	109	107
108	107	105
110	111	105
108	109	103
108	109	104
110	111	106
110	111	106
109	109	107
107	106	104
103	102	100
111	110	108
105	104	102
101	100	98
104	103	99
109	108	104
113	109	106
111	108	103
110	107	102
107	109	104
108	110	105
109	111	106
109	111	106
109	111	106
111	113	110
111	113	110
111	113	110
108	110	107
112	114	111
112	114	111
111	113	108
109	111	106
109	110	105
109	110	105
112	113	108
113	115	110
105	107	102
114	116	111
106	108	103
110	112	107
111	111	109
102	102	100
110	110	108
107	107	105
105	105	103
101	103	98
105	107	102
103	105	100
97	99	94
100	102	97
102	104	99
104	105	100
104	105	100
104	105	100
103	104	99
104	105	100
105	106	101
107	108	103
107	108	103
106	107	102
107	109	104
110	112	107
110	112	107
107	109	104
106	108	103
107	109	104
109	111	106
113	109	108
114	108	108
108	100	98
113	108	102
112	115	98
98	115	79
60	95	37
47	98	23
30	88	1
36	97	4
35	94	2
35	88	0
42	90	4
45	91	3
43	87	0
45	90	0
35	85	0
34	84	0
33	82	0
35	84	3
36	85	4
34	83	4
33	82	3
33	82	1
36	85	3
33	83	0
33	83	0
32	85	0
35	88	0
38	91	1
36	89	1
32	85	0
37	85	0
39	87	1
44	89	4
44	89	4
40	85	0
40	85	2
43	86	4
42	85	3
43	86	4
39	82	0
47	90	8
41	84	2
40	83	1
41	84	2
40	83	3
37	82	1
37	80	1
37	80	1
39	80	2
43	81	6
40	78	3
37	73	1
37	73	1
39	77	4
37	75	2
36	74	1
36	74	1
37	75	2
37	75	2
39	75	1
42	76	2
42	76	2
45	79	5
44	78	4
42	76	2
43	77	3
45	77	2
44	76	1
44	74	0
45	75	1
45	75	1
44	74	0
48	76	2
49	76	5
48	75	4
47	74	3
48	75	4
48	75	4
52	74	0
53	75	0
49	69	0
49	69	0
50	66	1
51	67	4
56	70	11
53	64	8
54	64	14
55	62	18
60	66	28
70	75	43
77	79	57
77	78	62
74	74	62
71	71	61
75	71	68
78	73	70
78	73	69
78	71	65
78	71	65
83	76	68
85	78	68
83	76	66
80	76	64
79	75	63
78	74	62
80	74	62
83	74	65
85	75	66
87	74	66
88	75	67
84	77	61
85	77	64
84	76	63
82	76	62
81	75	61
80	74	62
77	73	61
75	71	59
73	69	57
75	71	59
75	69	57
74	68	54
78	72	58
78	70	57
75	68	52
77	70	54
72	64	53
72	64	53
72	64	53
72	66	54
71	65	53
69	62	52
70	63	53
71	67	56
107	101	101
105	99	99
109	105	102
110	109	105
106	105	101
108	107	103
111	110	106
107	106	101
113	110	105
109	106	101
112	107	104
115	110	107
110	106	103
109	105	102
115	111	108
117	116	112
109	112	105
109	112	105
110	112	107
111	112	107
109	110	105
108	108	106
108	108	106
107	106	104
109	108	106
105	104	102
103	102	98
105	104	100
108	105	100
109	106	101
109	106	101
109	106	99
106	111	105
107	112	106
107	112	106
107	112	106
110	112	107
111	113	108
112	114	111
112	114	111
108	110	107
111	113	110
113	115	110
112	114	109
111	113	108
109	111	106
110	112	107
112	114	109
110	112	107
112	114	109
112	114	109
109	111	106
113	115	112
109	111	108
111	111	109
110	110	108
107	107	105
109	109	107
106	107	102
107	109	104
106	108	103
103	105	100
105	107	102
103	106	99
101	102	97
103	104	99
104	105	100
104	105	100
104	105	100
104	105	100
106	107	102
106	107	102
105	107	102
106	108	103
106	108	103
106	108	103
108	110	105
107	109	104
103	108	102
102	107	101
111	110	108
107	106	102
113	113	101
108	112	89
99	114	73
59	89	27
44	88	9
56	113	19
31	95	0
36	100	4
35	94	4
35	87	4
41	88	7
44	89	4
41	87	0
42	89	0
37	87	0
35	85	0
32	81	0
31	80	0
33	82	1
34	83	4
35	84	3
36	88	5
34	84	0
36	86	0
38	88	0
37	87	0
37	87	0
39	89	0
40	90	1
39	89	2
44	89	4
41	86	1
41	86	1
42	87	2
42	87	2
44	88	3
44	88	3
41	84	2
44	87	5
41	84	2
44	87	5
45	88	6
38	81	0
45	88	6
40	83	1
39	82	0
40	83	3
36	79	0
36	77	0
42	80	3
43	81	6
41	77	3
37	75	2
37	75	2
38	76	3
36	76	3
36	76	3
37	75	2
37	75	2
39	75	1
41	75	1
42	76	2
41	75	1
45	79	5
45	79	5
43	77	1
46	78	3
48	80	5
48	78	4
47	77	3
45	75	1
44	74	0
45	75	1
47	77	5
47	77	5
46	76	4
46	76	4
44	74	2
51	72	0
53	74	0
61	78	8
57	73	8
52	66	7
54	67	13
58	67	20
63	70	28
66	72	36
75	78	49
82	84	60
84	83	65
78	76	64
75	72	67
76	72	71
80	76	77
74	71	62
76	72	63
77	73	64
78	71	63
79	72	66
82	75	69
82	75	69
79	72	66
80	75	69
81	76	70
79	75	66
79	75	66
83	76	66
85	77	66
86	76	66
87	77	67
86	77	62
86	77	62
85	78	62
84	76	63
81	75	61
81	75	61
79	73	59
76	73	58
74	71	56
75	72	57
75	69	55
74	68	54
77	71	57
78	70	57
76	68	55
78	70	57
76	68	57
72	64	53
69	61	50
69	63	51
71	65	53
70	63	53
67	63	52
66	62	51
113	104	105
115	109	109
112	107	104
108	104	101
108	107	103
107	106	102
106	105	101
112	111	106
112	109	104
113	108	104
112	107	103
111	106	102
113	108	105
117	113	110
117	113	110
112	108	105
109	112	105
110	113	106
111	113	108
110	112	107
107	109	104
108	109	104
108	108	106
107	107	105
106	105	103
105	104	100
106	105	101
110	107	102
110	107	102
112	109	102
112	109	102
110	107	100
107	112	105
107	112	106
107	112	106
107	112	106
107	112	106
108	113	107
111	113	108
111	113	110
112	114	111
112	114	109
113	115	110
112	114	109
111	113	108
111	113	108
113	115	110
115	118	111
109	114	108
107	109	104
117	119	114
107	109	104
110	112	109
114	116	113
108	108	106
111	111	109
107	107	105
105	105	103
111	111	109
106	107	102
106	107	102
110	112	107
102	105	98
104	107	100
106	105	101
105	104	100
104	103	99
105	104	100
107	108	103
107	108	103
105	106	101
102	103	98
103	105	100
107	109	104
109	111	106
106	111	105
104	109	103
103	108	102
103	108	102
105	110	104
104	111	103
105	113	98
98	113	84
97	119	73
62	94	29
45	88	6
45	99	5
38	98	0
39	101	2
32	93	0
32	90	3
37	90	8
38	90	7
40	90	5
38	88	0
32	85	0
35	88	0
36	88	3
34	86	3
33	85	3
35	86	7
32	83	4
30	81	2
32	84	1
35	87	2
37	87	0
37	87	0
38	87	0
38	87	0
40	88	2
42	87	2
40	85	2
43	88	3
41	86	1
42	87	2
43	88	3
41	85	0
40	84	0
43	87	2
43	87	2
44	87	5
40	83	1
39	82	0
47	90	8
39	82	0
44	87	5
39	82	0
42	85	3
39	82	2
39	80	2
41	82	4
43	81	4
41	79	4
38	74	0
36	74	1
39	77	4
38	76	3
36	76	3
35	75	2
35	75	2
36	74	0
38	74	0
39	75	1
41	75	1
42	76	2
56	90	16
57	91	15
46	80	4
44	76	1
49	81	6
49	81	6
46	76	2
47	77	3
46	76	2
46	76	2
48	78	4
48	78	6
47	77	5
45	75	3
43	73	1
51	68	0
52	68	5
60	75	16
57	70	17
55	67	21
65	73	34
72	77	45
82	85	58
81	83	61
86	85	67
86	84	71
82	79	70
79	74	68
79	74	71
78	72	72
75	69	69
79	78	58
73	72	54
74	71	56
80	76	65
84	77	71
82	74	71
82	74	72
81	75	75
79	73	73
80	76	73
80	77	72
79	76	67
81	77	65
84	78	64
86	79	61
87	80	62
85	76	61
86	77	62
86	77	62
83	76	60
82	75	59
81	75	61
81	75	61
79	73	59
79	73	59
79	73	59
77	71	57
75	69	57
76	68	57
74	66	55
74	64	54
74	64	54
72	63	54
72	63	54
72	63	54
71	64	54
70	63	53
68	61	51
66	62	51
68	64	53
109	100	101
107	101	101
113	107	107
115	111	108
109	108	104
109	108	104
111	110	105
112	109	104
114	111	106
112	107	103
113	108	104
119	114	110
122	117	113
117	112	108
114	110	107
118	114	111
110	115	108
109	114	107
109	114	107
110	112	107
109	111	106
109	111	106
110	111	106
108	109	104
106	107	102
107	106	102
108	107	102
111	108	103
112	109	102
115	112	105
116	113	104
112	109	100
107	112	105
107	112	105
107	112	106
107	112	106
107	112	106
109	114	108
110	115	109
112	114	109
107	109	104
108	110	105
112	114	109
114	116	111
114	116	111
112	114	109
110	113	106
108	111	104
109	114	108
110	115	109
113	115	110
111	113	108
113	115	112
109	111	108
113	113	111
110	110	108
107	107	105
111	111	109
105	105	103
109	110	105
109	110	105
105	106	101
109	110	104
102	103	97
100	99	95
103	102	98
107	106	102
108	107	103
107	106	102
107	108	103
109	110	105
110	112	107
107	109	104
109	111	106
106	111	105
105	110	104
108	113	107
108	113	107
104	111	104
103	110	103
102	117	98
96	116	88
85	114	68
49	90	24
41	90	8
42	96	2
38	94	0
40	96	0
38	93	0
36	92	1
39	95	6
38	96	9
32	90	3
29	87	0
31	89	4
32	90	5
34	86	1
35	87	4
32	84	2
31	84	4
32	85	7
31	84	6
31	84	4
36	88	6
33	85	2
37	87	2
39	89	2
39	87	1
38	83	0
38	83	0
41	84	4
42	85	5
41	86	1
40	85	0
44	89	4
46	90	5
40	84	0
37	81	0
41	85	0
45	89	4
43	87	2
42	85	3
39	82	0
43	86	4
42	85	3
40	83	1
41	84	2
42	85	3
41	84	4
39	80	2
38	79	1
41	79	2
41	79	4
40	76	2
38	74	2
37	75	2
37	75	2
35	75	2
35	75	2
34	74	1
36	74	0
37	75	0
39	75	1
40	76	2
46	80	4
44	78	2
42	76	0
44	78	2
50	82	7
48	80	5
45	77	2
49	79	5
48	78	4
47	77	3
48	78	4
48	78	4
47	77	5
46	76	4
45	75	3
44	74	2
53	67	14
54	66	16
60	72	26
67	78	38
78	85	54
85	89	66
84	85	67
79	80	66
84	82	70
85	82	73
84	80	71
81	77	68
80	76	67
82	75	67
80	73	65
78	71	63
71	69	54
78	76	61
82	78	66
78	74	63
74	70	61
79	74	68
84	79	75
84	79	75
78	75	70
79	79	71
79	79	69
80	78	66
80	78	63
82	79	62
85	80	61
86	81	62
87	75	61
89	77	63
87	78	63
85	76	61
82	75	59
83	76	60
81	75	59
80	74	60
77	71	57
76	70	56
77	71	59
77	69	58
75	67	56
76	66	57
77	67	58
76	66	57
74	65	58
71	62	53
69	60	51
69	62	52
71	64	54
71	64	54
69	65	54
69	65	53
114	105	106
114	105	106
112	106	106
110	106	103
109	108	104
109	108	104
112	111	106
118	115	110
116	113	108
117	112	108
113	108	104
113	108	104
121	116	112
123	118	114
119	116	111
118	115	110
110	115	108
108	113	106
107	112	105
107	112	105
109	111	106
110	112	107
109	111	106
105	106	101
108	109	104
111	110	106
113	112	107
112	109	102
107	104	97
109	106	97
113	110	101
111	109	97
107	112	105
107	112	105
107	112	106
107	112	106
108	113	107
110	115	109
112	117	111
115	117	112
113	115	110
111	113	108
111	113	108
111	113	108
112	114	109
113	115	110
114	117	110
113	116	109
112	117	111
107	112	106
114	116	111
112	114	111
112	114	111
107	109	106
111	111	109
109	109	107
113	113	111
108	108	106
109	109	107
108	109	104
109	110	105
109	110	105
104	105	99
105	106	100
104	103	99
103	102	98
103	102	98
105	104	100
108	107	103
109	110	105
108	109	104
104	106	101
105	107	102
109	111	106
106	111	105
105	110	104
106	111	105
105	111	107
104	110	106
104	110	106
101	121	94
80	108	68
49	90	32
39	92	14
37	96	4
36	96	0
38	95	0
42	96	2
42	93	1
42	95	5
35	91	0
28	89	0
32	97	5
33	98	8
27	89	4
24	85	5
34	88	4
36	90	6
34	87	7
33	86	8
33	86	8
28	81	3
25	78	0
28	81	1
37	89	6
37	87	2
37	85	0
39	87	1
42	87	4
44	87	7
44	85	7
43	84	6
45	90	5
39	84	0
39	84	0
45	89	4
44	88	3
42	86	1
42	86	1
43	85	1
43	85	1
47	89	7
44	87	5
38	81	0
43	86	4
38	81	0
45	88	6
40	83	1
38	81	1
38	79	0
39	80	2
41	79	2
41	77	3
40	76	2
39	75	3
39	77	4
35	75	2
35	75	2
35	75	2
35	75	2
37	75	0
38	76	1
41	77	3
42	78	4
42	76	0
45	79	3
43	77	1
42	76	0
46	78	3
47	79	4
46	78	3
50	80	6
49	79	5
48	78	4
48	78	4
48	78	4
45	75	3
44	74	2
44	74	2
44	74	2
56	67	25
70	81	41
81	91	56
91	97	69
86	91	69
80	82	68
85	85	75
85	82	77
82	79	74
84	79	73
84	80	71
85	78	68
82	75	65
80	74	62
80	74	60
81	75	61
80	77	70
77	74	65
77	74	65
81	77	68
81	77	66
81	77	66
81	77	65
80	78	65
79	77	64
81	82	66
81	82	66
79	80	64
80	78	63
80	78	63
82	79	64
83	80	65
88	76	64
90	78	66
90	78	64
85	76	61
82	75	59
82	75	59
82	75	59
79	73	59
79	73	59
77	71	57
80	72	61
80	72	61
76	67	58
76	66	57
77	66	60
75	64	58
74	65	58
71	62	55
69	60	53
68	61	51
68	61	51
70	63	53
71	67	56
75	71	59
109	105	104
108	104	103
109	105	102
109	108	104
110	109	105
108	109	104
108	109	103
107	110	103
109	112	105
108	111	102
107	110	101
109	110	102
112	113	105
115	116	108
116	116	108
112	112	104
111	111	109
109	108	106
113	112	108
114	113	109
108	107	103
107	106	101
110	109	104
106	105	100
106	107	101
112	113	107
108	109	104
104	106	103
106	108	105
106	108	107
106	110	109
106	110	109
107	106	101
113	112	107
111	112	106
111	112	106
116	117	111
115	118	111
111	114	107
113	116	109
110	113	106
110	115	108
107	112	106
110	115	109
109	114	110
113	115	112
109	111	110
112	114	113
109	115	111
109	115	111
105	112	105
111	118	111
108	115	108
112	119	112
108	113	106
107	112	105
108	113	106
103	108	101
107	112	106
108	110	105
107	109	104
103	105	100
105	107	104
102	104	101
116	115	84
152	145	126
132	122	113
106	96	95
109	105	102
104	110	100
103	111	96
106	112	100
110	111	106
115	110	114
106	104	109
109	113	112
107	117	108
102	113	99
105	111	97
115	119	105
59	113	25
36	91	0
39	94	3
37	92	0
36	91	0
45	100	7
44	99	5
41	96	2
40	97	3
40	97	3
37	93	2
33	92	2
33	91	4
31	89	2
29	89	3
32	92	6
38	90	7
36	88	5
33	85	2
36	88	5
34	86	3
34	88	4
33	87	3
33	85	2
37	89	6
35	87	4
35	87	4
37	87	2
37	87	2
39	87	3
41	89	5
41	89	3
43	85	1
43	85	1
43	87	2
44	88	1
42	88	0
41	87	0
40	89	0
42	91	0
43	92	1
44	90	0
44	90	0
44	88	1
44	86	0
44	86	0
46	86	0
45	85	0
40	84	5
40	85	2
44	89	4
39	83	0
39	83	0
42	83	4
35	75	2
37	74	4
39	76	7
40	76	4
39	76	0
41	76	0
43	78	0
43	77	0
42	76	2
42	75	6
43	80	0
40	77	0
39	77	0
40	78	0
40	79	0
43	79	5
46	82	10
50	83	14
46	79	10
50	80	8
50	78	4
49	75	4
53	73	10
56	73	21
60	72	32
64	75	41
89	87	72
90	88	73
90	88	73
88	86	71
87	85	72
89	87	74
88	86	74
84	82	70
84	81	72
81	78	69
85	82	75
79	74	68
79	74	68
84	79	75
77	72	68
81	76	72
73	76	57
71	74	55
74	77	60
76	78	64
74	76	63
75	77	66
77	78	72
77	76	72
82	81	77
79	78	74
79	76	71
79	76	67
82	78	66
84	81	64
84	82	61
86	81	59
85	78	62
85	78	62
84	78	64
85	79	67
83	79	67
80	76	65
77	74	65
77	74	67
76	73	66
73	70	63
73	70	63
73	70	63
73	68	62
72	68	59
72	68	59
72	68	59
67	65	50
67	65	50
67	66	48
68	67	47
66	68	46
66	69	42
69	72	43
75	78	47
108	104	103
108	104	103
108	104	101
108	107	103
110	109	105
110	111	106
110	111	105
109	112	105
107	110	103
107	110	103
109	112	103
113	114	106
114	115	107
115	115	107
114	114	106
110	110	102
109	108	106
111	110	106
113	112	108
112	111	107
111	110	105
110	109	104
110	109	104
111	110	105
109	110	104
112	113	107
107	108	103
105	107	102
107	109	106
104	106	103
103	107	106
105	109	108
110	109	104
108	107	102
111	112	106
114	115	109
113	114	108
115	118	111
117	120	113
111	114	107
115	118	111
107	112	105
112	117	111
109	114	108
115	117	114
108	110	107
114	116	115
115	117	116
111	117	113
107	113	109
113	120	113
106	113	106
116	123	116
107	114	107
112	117	110
106	111	104
108	113	106
107	112	105
104	109	103
111	113	108
102	104	99
106	108	103
103	105	102
103	105	102
121	116	96
135	129	113
123	116	106
106	101	97
109	108	104
112	113	107
109	112	103
108	111	102
107	109	104
114	114	114
112	112	114
110	112	111
111	116	109
102	113	96
106	122	93
72	92	55
